Interval=	0.00025 s		
ExcelDateTime=	4.2864586892317864e+004	5/9/2017 14:05:07.496264		
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	RTA	RMG	LTA	LMG	Trigger	Vicon	Stim Voltage
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
72.4035	-0.065	-0.216	-0.824	0.171	0.001	0.243	-0.002
72.40375	-0.036	-0.193	-0.741	0.079	0.000	0.243	-0.002
72.404	-0.008	-0.210	-0.695	-0.048	0.001	0.243	-0.002
72.40425	0.014	-0.276	-0.660	-0.188	0.000	0.244	-0.002
72.4045	0.028	-0.371	-0.613	-0.317	0.000	0.244	-0.002
72.40475	0.029	-0.455	-0.548	-0.422	0.001	0.243	-0.002
72.405	0.020	-0.490	-0.476	-0.497	0.001	0.243	-0.003
72.40525	0.006	-0.459	-0.419	-0.546	0.000	0.243	-0.003
72.4055	-0.008	-0.372	-0.389	-0.572	0.000	0.243	-0.002
72.40575	-0.017	-0.262	-0.388	-0.575	0.001	0.244	-0.002
72.406	-0.020	-0.168	-0.397	-0.551	0.001	0.244	-0.002
72.40625	-0.019	-0.115	-0.393	-0.497	0.000	0.243	-0.003
72.4065	-0.015	-0.102	-0.363	-0.414	0.000	0.243	-0.002
72.40675	-0.011	-0.103	-0.307	-0.310	0.000	0.243	-0.003
72.407	-0.009	-0.081	-0.243	-0.196	0.000	0.243	-0.003
72.40725	-0.006	-0.001	-0.196	-0.083	0.001	0.243	-0.002
72.4075	-0.003	0.150	-0.180	0.021	0.000	0.244	-0.003
72.40775	0.002	0.358	-0.194	0.117	0.000	0.243	-0.002
72.408	0.008	0.585	-0.218	0.210	0.001	0.243	-0.002
72.40825	0.012	0.788	-0.227	0.303	0.000	0.243	-0.002
72.4085	0.013	0.933	-0.208	0.397	0.000	0.243	-0.002
72.40875	0.009	1.009	-0.166	0.486	0.000	0.243	-0.002
72.409	0.003	1.028	-0.128	0.556	0.000	0.243	-0.002
72.40925	-0.003	1.018	-0.127	0.597	0.001	0.243	-0.003
72.4095	-0.005	1.009	-0.185	0.601	0.000	0.244	-0.003
72.40975	-0.001	1.015	-0.294	0.566	0.000	0.244	-0.003
72.41	0.010	1.029	-0.414	0.501	0.001	0.243	-0.003
72.41025	0.025	1.029	-0.489	0.417	0.000	0.244	-0.002
72.4105	0.041	0.989	-0.469	0.327	0.000	0.243	-0.003
72.41075	0.054	0.898	-0.336	0.240	0.001	0.243	-0.002
72.411	0.062	0.763	-0.111	0.161	0.000	0.243	-0.002
72.41125	0.064	0.618	0.148	0.092	0.000	0.243	-0.003
72.4115	0.062	0.504	0.376	0.034	0.001	0.243	-0.002
72.41175	0.056	0.457	0.520	-0.013	0.001	0.243	-0.003
72.412	0.050	0.490	0.562	-0.048	0.000	0.243	-0.002
72.41225	0.046	0.584	0.519	-0.069	0.000	0.244	-0.002
72.4125	0.044	0.698	0.426	-0.081	0.000	0.243	-0.002
72.41275	0.048	0.785	0.310	-0.088	0.001	0.243	-0.003
72.413	0.058	0.811	0.184	-0.100	0.000	0.243	-0.002
72.41325	0.076	0.770	0.039	-0.124	-0.000	0.243	-0.003
72.4135	0.100	0.688	-0.138	-0.163	0.000	0.243	-0.003
72.41375	0.128	0.610	-0.346	-0.210	0.000	0.243	-0.002
72.414	0.156	0.578	-0.557	-0.249	-0.000	0.243	-0.002
72.41425	0.179	0.609	-0.732	-0.261	0.000	0.243	-0.002
72.4145	0.196	0.683	-0.838	-0.231	0.000	0.243	-0.002
72.41475	0.208	0.748	-0.878	-0.154	-0.000	0.244	-0.002
72.415	0.217	0.742	-0.901	-0.042	0.000	0.243	-0.003
72.41525	0.226	0.615	-0.980	0.082	0.000	0.243	-0.003
72.4155	0.238	0.357	-1.179	0.188	0.000	0.243	-0.003
72.41575	0.250	0.001	-1.508	0.258	0.001	0.243	-0.002
72.416	0.259	-0.385	-1.902	0.283	0.000	0.243	-0.003
72.41625	0.259	-0.727	-2.234	0.278	0.000	0.244	-0.003
72.4165	0.249	-0.968	-2.371	0.264	0.000	0.243	-0.003
72.41675	0.231	-1.089	-2.235	0.266	0.001	0.243	-0.003
72.417	0.213	-1.105	-1.853	0.293	0.001	0.243	-0.002
72.41725	0.201	-1.047	-1.361	0.340	0.000	0.243	-0.002
72.4175	0.201	-0.941	-0.952	0.387	0.000	0.243	-0.003
72.41775	0.209	-0.785	-0.792	0.407	0.000	0.244	-0.002
72.418	0.218	-0.563	-0.940	0.383	4.992	0.244	-1.316
