Interval=	0.00025 s		
ExcelDateTime=	4.2864586874586385e+004	5/9/2017 14:05:05.964264		
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	RTA	RMG	LTA	LMG	Trigger	Vicon	Stim Voltage
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
70.872	0.114	-4.002	-1.074	1.256	0.000	0.243	-0.002
70.87225	0.260	-5.493	-1.331	-0.086	0.000	0.243	-0.002
70.8725	0.417	-6.556	-1.411	-1.833	-0.000	0.243	-0.002
70.87275	0.546	-6.889	-1.254	-3.557	0.000	0.243	-0.002
70.873	0.610	-6.386	-0.853	-4.835	0.000	0.243	-0.002
70.87325	0.594	-5.189	-0.261	-5.401	0.000	0.243	-0.003
70.8735	0.502	-3.633	0.421	-5.218	-0.000	0.243	-0.002
70.87375	0.360	-2.131	1.072	-4.467	0.000	0.243	-0.002
70.874	0.198	-1.017	1.583	-3.445	0.000	0.243	-0.002
70.87425	0.042	-0.444	1.886	-2.446	0.000	0.243	-0.003
70.8745	-0.095	-0.350	1.962	-1.651	0.000	0.243	-0.003
70.87475	-0.214	-0.524	1.842	-1.099	0.000	0.243	-0.003
70.875	-0.323	-0.714	1.586	-0.714	0.000	0.243	-0.002
70.87525	-0.428	-0.739	1.262	-0.379	0.000	0.243	-0.003
70.8755	-0.529	-0.552	0.927	-0.011	0.000	0.243	-0.002
70.87575	-0.615	-0.228	0.617	0.399	0.000	0.244	-0.003
70.876	-0.672	0.092	0.349	0.797	0.000	0.243	-0.002
70.87625	-0.685	0.291	0.122	1.108	0.001	0.244	-0.002
70.8765	-0.653	0.324	-0.067	1.281	0.000	0.243	-0.003
70.87675	-0.581	0.231	-0.221	1.320	0.000	0.243	-0.003
70.877	-0.486	0.101	-0.342	1.271	0.000	0.243	-0.002
70.87725	-0.387	0.020	-0.429	1.200	0.001	0.243	-0.003
70.8775	-0.298	0.023	-0.482	1.149	-0.000	0.243	-0.002
70.87775	-0.227	0.089	-0.505	1.125	0.001	0.244	-0.003
70.878	-0.171	0.161	-0.508	1.097	0.001	0.243	-0.002
70.87825	-0.126	0.184	-0.498	1.026	0.000	0.244	-0.003
70.8785	-0.088	0.135	-0.482	0.886	0.000	0.243	-0.003
70.87875	-0.055	0.036	-0.463	0.683	0.000	0.243	-0.002
70.879	-0.028	-0.064	-0.441	0.448	0.000	0.244	-0.002
70.87925	-0.010	-0.121	-0.415	0.225	0.001	0.243	-0.002
