Interval=	0.00025 s
ExcelDateTime=	4.2696564851361203e+004	11/22/2016 13:33:23.157608
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RMG	Stim
Range=	10.000 V	10.000 V
29.27675	0.825	0.001
29.277	0.433	0.001
29.27725	0.153	0.000
29.2775	0.022	0.000
29.27775	0.046	0.000
29.278	0.133	-0.000
29.27825	0.250	0.000
29.2785	0.427	0.001
29.27875	0.690	0.000
29.279	1.024	-0.000
29.27925	1.428	0.000
29.2795	1.901	0.000
29.27975	2.395	0.000
29.28	2.857	0.000
29.28025	3.321	0.000
29.2805	3.675	0.000
29.28075	3.744	0.001
29.281	3.453	0.001
29.28125	2.859	0.000
29.2815	2.156	0.000
29.28175	1.564	0.001
29.282	1.185	0.000
29.28225	1.018	0.000
29.2825	1.020	0.000
29.28275	1.133	-0.000
29.283	1.304	0.000
29.28325	1.524	0.001
29.2835	1.776	0.000
29.28375	2.024	0.000
29.284	2.239	0.001
29.28425	2.400	0.000
29.2845	2.514	0.001
29.28475	2.567	-0.000
29.285	2.443	0.000
29.28525	2.087	0.000
29.2855	1.562	0.001
29.28575	0.997	0.001
29.286	0.474	0.000
29.28625	0.070	0.000
29.2865	-0.209	4.955
29.28675	-0.125	4.957
29.287	-0.206	0.001
29.28725	-0.256	0.001
29.2875	-0.203	0.001
29.28775	-0.113	0.001
29.288	0.046	0.000
29.28825	0.367	0.000
29.2885	0.628	0.000
29.28875	0.470	0.000
29.289	-0.195	0.001
29.28925	-1.144	0.000
29.2895	-1.975	0.000
29.28975	-2.443	0.000
29.29	-2.453	0.000
29.29025	-1.887	0.000
29.2905	-0.785	0.000
29.29075	0.541	0.000
29.291	1.727	0.000
29.29125	2.286	0.001
29.2915	2.047	0.000
29.29175	1.255	0.000
29.292	0.397	0.001
29.29225	-0.259	0.001
29.2925	-0.536	0.000
29.29275	-0.263	0.001
29.293	0.449	0.000
29.29325	1.368	0.000
29.2935	2.290	0.000
29.29375	3.084	0.000
29.294	3.708	0.000
29.29425	4.158	0.000
29.2945	4.442	0.001
29.29475	4.563	0.000
29.295	4.553	0.000
29.29525	4.469	0.000
29.2955	4.357	0.000
29.29575	4.256	0.001
29.296	4.169	0.001
29.29625	4.078	0.000
29.2965	3.964	0.001
29.29675	3.815	0.000
29.297	3.639	0.001
29.29725	3.453	0.000
29.2975	3.268	0.001
29.29775	3.096	0.000
29.298	2.941	0.000
29.29825	2.795	0.000
29.2985	2.622	0.001
29.29875	2.409	0.001
29.299	2.152	0.001
29.29925	1.743	0.000
29.2995	1.145	-0.000
29.29975	0.408	0.001
29.3	-0.346	0.001
29.30025	-0.924	0.001
29.3005	-1.168	0.000
29.30075	-1.048	0.000
29.301	-0.650	0.001
29.30125	-0.068	0.001
29.3015	0.600	0.000
29.30175	1.214	0.000
29.302	1.655	-0.000
29.30225	1.860	0.001
29.3025	1.867	0.000
29.30275	1.748	0.001
29.303	1.622	0.001
29.30325	1.573	0.000
29.3035	1.608	0.001
29.30375	1.710	0.000
29.304	1.873	0.000
29.30425	2.078	0.000
29.3045	2.284	0.000
29.30475	2.463	0.001
29.305	2.588	0.000
29.30525	2.653	0.000
29.3055	2.673	0.000
29.30575	2.668	0.000
29.306	2.644	0.000
29.30625	2.600	0.000
29.3065	2.525	0.000
29.30675	2.425	0.000
29.307	2.301	-0.000
29.30725	2.085	0.000
29.3075	1.760	0.001
29.30775	1.368	0.001
29.308	0.996	0.000
29.30825	0.716	0.000
29.3085	0.540	0.000
29.30875	0.458	0.000
29.309	0.485	0.000
29.30925	0.664	0.000
29.3095	0.976	0.000
29.30975	1.331	-0.000
29.31	1.657	0.000
29.31025	1.919	0.000
29.3105	2.126	0.000
29.31075	2.283	0.000
29.311	2.394	0.001
29.31125	2.469	0.000
29.3115	2.532	4.956
29.31175	2.860	4.957
29.312	2.916	0.000
29.31225	2.876	0.001
29.3125	2.822	0.001
29.31275	2.788	0.001
29.313	2.773	0.000
29.31325	2.762	0.000
29.3135	2.733	0.000
29.31375	2.677	0.000
29.314	2.602	0.001
29.31425	2.520	0.000
29.3145	2.447	0.000
29.31475	2.388	0.000
29.315	2.353	0.000
29.31525	2.316	0.000
29.3155	2.166	0.000
29.31575	1.674	0.000
29.316	0.816	0.000
29.31625	-0.334	0.000
29.3165	-1.698	0.001
29.31675	-3.028	0.001
29.317	-4.011	0.000
29.31725	-4.417	0.001
29.3175	-4.199	0.000
29.31775	-3.476	0.000
29.318	-2.445	0.000
29.31825	-1.298	0.000
29.3185	-0.202	0.000
29.31875	0.772	0.000
29.319	1.597	0.000
29.31925	2.257	0.000
29.3195	2.756	0.000
29.31975	3.126	0.000
29.32	3.380	0.000
29.32025	3.518	0.000
29.3205	3.561	0.000
29.32075	3.499	0.001
29.321	3.334	-0.000
29.32125	3.069	0.001
29.3215	2.657	0.000
29.32175	2.123	0.000
29.322	1.578	0.000
29.32225	1.098	0.000
29.3225	0.665	0.000
29.32275	0.302	0.000
29.323	0.072	-0.000
29.32325	0.022	0.000
29.3235	0.112	0.001
29.32375	0.255	0.000
29.324	0.418	0.000
29.32425	0.592	0.000
29.3245	0.654	0.000
29.32475	0.552	0.000
29.325	0.347	-0.000
29.32525	0.068	0.000
29.3255	-0.188	0.001
29.32575	-0.242	-0.000
29.326	-0.201	0.000
29.32625	-0.527	0.000
29.3265	-1.424	0.000
29.32675	-2.628	0.000
29.327	-3.730	0.000
29.32725	-4.457	0.001
29.3275	-4.667	0.001
29.32775	-4.401	0.000
29.328	-3.742	0.001
29.32825	-2.787	0.000
29.3285	-1.834	0.000
29.32875	-1.150	0.001
29.329	-0.751	0.001
29.32925	-0.482	0.001
