Interval=	0.00025 s
ExcelDateTime=	4.2696564859723469e+004	11/22/2016 13:33:23.880108
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RTA	Stim
Range=	10.000 V	10.000 V
29.99675	0.094	0.000
29.997	-0.035	-0.000
29.99725	-0.167	0.000
29.9975	-0.306	0.000
29.99775	-0.440	0.000
29.998	-0.545	0.000
29.99825	-0.589	-0.000
29.9985	-0.564	0.000
29.99875	-0.497	0.000
29.999	-0.429	0.000
29.99925	-0.378	0.000
29.9995	-0.335	-0.000
29.99975	-0.275	0.000
30	-0.185	0.000
30.00025	-0.069	0.000
30.0005	0.050	0.000
30.00075	0.146	0.000
30.001	0.208	-0.000
30.00125	0.250	-0.000
30.0015	0.291	0.000
30.00175	0.334	0.000
30.002	0.361	0.000
30.00225	0.363	0.001
30.0025	0.354	0.000
30.00275	0.350	0.000
30.003	0.345	0.000
30.00325	0.321	0.000
30.0035	0.273	-0.000
30.00375	0.210	-0.000
30.004	0.145	0.000
30.00425	0.080	0.000
30.0045	0.013	0.001
30.00475	-0.060	0.000
30.005	-0.145	0.000
30.00525	-0.246	0.000
30.0055	-0.351	0.000
30.00575	-0.434	0.000
30.006	-0.480	0.001
30.00625	-0.489	0.000
30.0065	-0.462	0.000
30.00675	-0.397	0.000
30.007	-0.304	0.000
30.00725	-0.203	0.000
30.0075	-0.100	0.000
30.00775	0.027	0.000
30.008	0.177	0.000
30.00825	0.306	0.000
30.0085	0.363	0.000
30.00875	0.347	0.000
30.009	0.291	0.000
30.00925	0.211	-0.000
30.0095	0.102	0.000
30.00975	-0.025	0.000
30.01	-0.142	0.000
30.01025	-0.237	0.000
30.0105	-0.306	0.000
30.01075	-0.318	-0.000
30.011	-0.250	0.000
30.01125	-0.161	0.000
30.0115	-0.152	4.955
30.01175	-0.220	4.957
30.012	-0.221	0.000
30.01225	-0.055	0.001
30.0125	0.168	0.000
30.01275	0.207	0.001
30.013	-0.051	0.000
30.01325	-0.484	0.000
30.0135	-0.862	0.001
30.01375	-1.041	0.000
30.014	-1.025	0.000
30.01425	-0.904	-0.000
30.0145	-0.764	0.001
30.01475	-0.649	-0.000
30.015	-0.568	0.001
30.01525	-0.545	0.000
30.0155	-0.616	-0.000
30.01575	-0.797	0.000
30.016	-1.041	0.000
30.01625	-1.254	0.000
30.0165	-1.353	-0.000
30.01675	-1.291	0.001
30.017	-1.071	-0.000
30.01725	-0.743	0.000
30.0175	-0.388	0.000
30.01775	-0.070	0.000
30.018	0.194	0.000
30.01825	0.414	0.000
30.0185	0.597	0.000
30.01875	0.731	0.000
30.019	0.804	0.000
30.01925	0.811	-0.000
30.0195	0.741	0.000
30.01975	0.599	0.000
30.02	0.414	0.000
30.02025	0.244	-0.000
30.0205	0.137	0.000
30.02075	0.097	0.001
30.021	0.082	0.000
30.02125	0.042	0.000
30.0215	-0.050	0.000
30.02175	-0.183	-0.000
30.022	-0.327	-0.000
30.02225	-0.452	0.000
30.0225	-0.557	0.000
30.02275	-0.653	0.000
30.023	-0.738	-0.000
30.02325	-0.769	0.000
30.0235	-0.690	0.000
30.02375	-0.491	0.001
30.024	-0.229	0.000
30.02425	0.014	-0.000
30.0245	0.173	0.000
30.02475	0.222	0.001
30.025	0.187	0.000
30.02525	0.155	0.000
30.0255	0.218	0.000
30.02575	0.385	0.000
30.026	0.571	0.001
30.02625	0.714	-0.000
30.0265	0.844	0.000
30.02675	0.976	0.000
30.027	0.998	0.001
30.02725	0.745	0.000
30.0275	0.216	0.000
30.02775	-0.376	0.000
30.028	-0.807	0.000
30.02825	-1.022	0.000
30.0285	-1.100	0.000
30.02875	-1.094	0.000
30.029	-0.997	-0.000
