Interval=	0.00025 s		
ExcelDateTime=	4.2864592740909931e+004	5/9/2017 14:13:32.814618		
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	RTA	RMG	LTA	LMG	Trigger	Vicon	Stim Voltage
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
140.92375	-0.097	1.025	-0.098	-0.439	0.000	0.243	-0.003
140.924	-0.098	1.166	-0.025	-0.499	-0.000	0.243	-0.003
140.92425	-0.096	1.273	0.056	-0.536	0.000	0.243	-0.003
140.9245	-0.092	1.307	0.126	-0.549	0.000	0.243	-0.003
140.92475	-0.088	1.270	0.175	-0.530	0.000	0.243	-0.002
140.925	-0.083	1.196	0.197	-0.471	0.000	0.243	-0.003
140.92525	-0.079	1.122	0.198	-0.371	0.000	0.243	-0.003
140.9255	-0.074	1.065	0.180	-0.238	0.001	0.243	-0.003
140.92575	-0.068	1.015	0.149	-0.086	0.000	0.243	-0.002
140.926	-0.058	0.946	0.110	0.062	0.001	0.244	-0.003
140.92625	-0.044	0.844	0.066	0.187	-0.000	0.243	-0.003
140.9265	-0.025	0.723	0.021	0.282	0.001	0.243	-0.003
140.92675	-0.003	0.629	-0.022	0.348	-0.000	0.243	-0.003
140.927	0.020	0.610	-0.061	0.398	0.000	0.243	-0.002
140.92725	0.041	0.687	-0.096	0.447	0.000	0.243	-0.002
140.9275	0.060	0.819	-0.130	0.505	0.001	0.243	-0.002
140.92775	0.077	0.909	-0.163	0.572	0.000	0.244	-0.003
140.928	0.090	0.836	-0.194	0.637	0.001	0.244	-0.002
140.92825	0.102	0.511	-0.221	0.684	0.000	0.243	-0.003
140.9285	0.112	-0.071	-0.240	0.699	0.000	0.242	-0.003
140.92875	0.118	-0.806	-0.248	0.680	0.001	0.243	-0.002
140.929	0.120	-1.511	-0.246	0.632	0.000	0.243	-0.003
140.92925	0.115	-1.977	-0.235	0.570	0.000	0.243	-0.003
140.9295	0.105	-2.057	-0.222	0.506	0.000	0.243	-0.002
140.92975	0.091	-1.724	-0.210	0.447	0.000	0.244	-0.003
140.93	0.076	-1.090	-0.200	0.389	0.000	0.243	-0.002
140.93025	0.062	-0.366	-0.188	0.320	0.001	0.244	-0.002
140.9305	0.049	0.205	-0.171	0.231	0.000	0.243	-0.002
140.93075	0.036	0.446	-0.145	0.122	0.001	0.243	-0.003
140.931	0.018	0.299	-0.112	0.001	0.000	0.243	-0.003
140.93125	-0.005	-0.151	-0.075	-0.119	0.000	0.243	-0.003
140.9315	-0.033	-0.715	-0.043	-0.225	0.001	0.243	-0.003
