Interval=	0.00025 s		 
ExcelDateTime=	4.2864589612427815e+004	5/9/2017 14:09:02.513764		
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	RTA	RMG	LTA	LMG	Trigger	Vicon	Stim Voltage
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
307.421	-0.022	-0.790	0.100	-0.700	0.001	0.243	-0.002
307.42125	-0.062	-1.174	0.133	-0.791	0.001	0.243	-0.002
307.4215	-0.091	-1.373	0.164	-0.820	0.000	0.244	-0.002
307.42175	-0.104	-1.309	0.188	-0.773	0.000	0.244	-0.002
307.422	-0.101	-0.962	0.199	-0.638	0.001	0.244	-0.002
307.42225	-0.090	-0.386	0.188	-0.404	0.000	0.244	-0.002
307.4225	-0.083	0.300	0.149	-0.066	0.001	0.243	-0.002
307.42275	-0.087	0.937	0.083	0.359	0.001	0.243	-0.002
307.423	-0.106	1.374	-0.002	0.830	0.001	0.243	-0.002
307.42325	-0.132	1.503	-0.086	1.276	0.000	0.244	-0.003
307.4235	-0.154	1.297	-0.149	1.612	0.000	0.243	-0.003
307.42375	-0.157	0.814	-0.169	1.766	0.000	0.243	-0.003
307.424	-0.135	0.178	-0.136	1.697	0.000	0.243	-0.003
307.42425	-0.089	-0.456	-0.055	1.422	0.000	0.244	-0.002
307.4245	-0.032	-0.947	0.058	1.008	0.000	0.244	-0.002
307.42475	0.015	-1.207	0.173	0.557	-0.000	0.243	-0.002
307.425	0.033	-1.219	0.265	0.169	0.000	0.243	-0.002
307.42525	0.013	-1.030	0.311	-0.086	0.000	0.243	-0.003
307.4255	-0.044	-0.731	0.307	-0.192	0.001	0.243	-0.003
307.42575	-0.121	-0.419	0.258	-0.182	0.000	0.244	-0.002
307.426	-0.196	-0.162	0.182	-0.119	0.000	0.244	-0.002
307.42625	-0.247	0.009	0.098	-0.067	0.000	0.243	-0.002
307.4265	-0.264	0.109	0.022	-0.068	0.000	0.244	-0.003
307.42675	-0.245	0.173	-0.040	-0.129	0.000	0.243	-0.002
307.427	-0.202	0.237	-0.087	-0.229	0.000	0.243	-0.002
307.42725	-0.152	0.315	-0.124	-0.336	0.001	0.243	-0.002
307.4275	-0.110	0.398	-0.156	-0.423	0.000	0.244	-0.002
307.42775	-0.086	0.461	-0.186	-0.483	0.000	0.243	-0.002
307.428	-0.079	0.477	-0.212	-0.523	0.000	0.243	-0.003
307.42825	-0.082	0.443	-0.233	-0.560	0.000	0.244	-0.003
307.4285	-0.087	0.374	-0.247	-0.603	0.000	0.243	-0.002
307.42875	-0.087	0.303	-0.255	-0.650	0.000	0.244	-0.002
307.429	-0.078	0.258	-0.259	-0.684	0.000	0.243	-0.003
307.42925	-0.064	0.247	-0.262	-0.688	0.001	0.243	-0.003
307.4295	-0.049	0.254	-0.266	-0.645	0.001	0.244	-0.002
